State.,Masks Required?,Type of Requirement,Requirement Date
[Mississippi](https://www.cnn.com/2020/08/05/health/mississippi-coronavirus-masks-schools-positivity-rate/index.html),Parts of State,null,8/4/2020
[Vermont](https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%202%20TO%20AMENDED%20AND%20RESTATED%20EXECUTIVE%20ORDER%20NO.%2001-20.pdf),Entire State,Everywhere in public where social distancing isn't possible,8/1/2020
[Wisconsin](https://www.nbc15.com/2020/07/30/mandatory-masks-in-wisconsin-goes-into-effect-saturday/),Entire State,All Public Indoor Spaces (Including Public Transport & Biz's),8/1/2020
[Indiana](https://wpta21.com/2020/07/22/indiana-gov-holcomb-issues-statewide-mask-order/),Entire State,Everywhere in public where social distancing isn't possible,7/27/2020
[Minnesota](https://www.startribune.com/walz-mandates-masks-indoors-across-state/571861471/),Entire State,Most Public Indoor Spaces (Including Public Transport & Biz's),7/25/2020
[Ohio](https://www.cincinnati.com/story/news/2020/07/22/coronavirus-ohio-amid-fbi-investigation-into-speaker-dewine-address-masks/5470588002/),Entire State,Everywhere in public where social distancing isn't possible,7/23/2020
[Arkansas](https://arktimes.com/arkansas-blog/2020/07/16/governor-mandates-masks-effective-monday),Entire State,Everywhere in public where social distancing isn't possible,7/20/2020
[Colorado](https://patch.com/colorado/littleton/s/h6h14/gov-jared-polis-issues-statewide-mask-mandate?utm_source=alert-breakingnews&utm_medium=email&utm_campaign=alert&fbclid=IwAR1pDjS7LI0ttjxoYDLFA002q__3dbsHwl97BlpbRPSsAeZNDi4tpFQUkZ0),Entire State,All Public Indoor Spaces (Including Public Transport & Biz's),7/17/2020
[Alabama](https://www.wsfa.com/2020/07/15/gov-ivey-update-public-states-response-covid-/),Entire State,Everywhere in public where social distancing isn't possible,7/16/2020
[Montana](https://montanafreepress.org/2020/07/15/bullock-covid-masks-mandatory/),Entire State,All Public Indoor Spaces (In Counties With >4 Cases),7/15/2020
[Louisiana](https://www.wwltv.com/article/news/health/coronavirus/new-coronavirus-restrictions/289-fc3e0bf8-7652-4f01-9623-7fb43c7edfc0),Entire State,Everywhere in public where social distancing isn't possible,7/13/2020
[Kentucky](https://www.wlky.com/article/masks-mandatory-in-kentucky-starting-friday-governor-announces-beshear/33265823#),Entire State,Everywhere in public where social distancing isn't possible,7/10/2020
[West Virginia](https://www.wsaz.com/2020/07/06/mask-mandate-wva-governor-issues-order/),Entire State,All Public Indoor Spaces (where social distancing isn't possible),7/7/2020
[Texas](https://abc13.com/health/mask-order-issued-for-entire-state-of-texas/6292458/),Entire State,Everywhere in public where social distancing isn't possible (in counties with >20 cases),7/3/2020
[Oregon](https://www.opb.org/news/article/oregon-coronavirus-covid-19-face-mask-rules/),Entire State,Everywhere in public where social distancing isn't possible,7/1/2020
[Washington](https://komonews.com/news/coronavirus/covid-19-inslee-announces-mandatory-face-mask-rule),Entire State,Everywhere in public where social distancing isn't possible,6/26/2020
[North Carolina](https://www.wbtv.com/2020/06/24/face-masks-required-public-places-north-carolina-covid-cases-rise-alarming-rate/),Entire State,Everywhere in public where social distancing isn't possible,6/26/2020
[Nevada](https://nvhealthresponse.nv.gov/wp-content/uploads/2020/06/6.22-Guidance-on-Improvised-Facial-Coverings-JH-V1.pdf),Entire State,Everywhere in public where social distancing isn't possible,6/25/2020
[California](https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/COVID-19/Guidance-for-Face-Coverings_06-18-2020.pdf),Entire State,Everywhere in public where social distancing isn't possible,6/18/2020
[Virginia](https://www.wsls.com/news/local/2020/05/26/face-masks-will-soon-be-mandatory-at-times-in-virginia/),Entire State,All Public Indoor Spaces (Including Public Transport & Biz's),5/29/2020
[New Mexico](https://www.abqjournal.com/1455269/lujan-grisham-to-address-public-health-orders.html),Entire State,Everywhere in public where social distancing isn't possible,5/15/2020
[Massachusetts](https://www.nepr.net/post/massachusetts-communities-issue-face-mask-orders-limit-covid-19s-spread#stream/0),Entire State,Everywhere in public where social distancing isn't possible,5/6/2020
[Delaware](https://news.delaware.gov/2020/04/25/governor-carney-requires-delawareans-to-wear-face-coverings-in-public-settings/),Entire State,Everywhere in public,5/1/2020
[Illinois](https://www.nbcchicago.com/news/local/illinois-new-stay-at-home-order-includes-requirement-to-cover-faces-in-public-in-may/2260615/?_osource=db_npd_nbc_wmaq_twt_shr),Entire State,Everywhere in public where social distancing isn't possible,5/1/2020
[Maine](https://www.pressherald.com/?p=5399794),Entire State,Everywhere in public,5/1/2020
[Michigan](https://fox59.com/news/coronavirus/face-mask-orders-eased-restrictions-heres-where-stay-at-home-orders-stand-in-indianas-surrounding-states/),Entire State,Everywhere in public where social distancing isn't possible,4/26/2020
[Hawaii](https://www.hawaiinewsnow.com/2020/04/20/under-new-rule-youre-now-required-wear-face-mask-most-public-settings-oahu/),Entire State,Only in businesses,4/20/2020
[Rhode Island](https://www.necn.com/news/coronavirus/with-reopening-looming-ri-gov-to-provide-update-on-coronavirus-response/2268092/),Entire State,Everywhere in public where social distancing isn't possible,4/20/2020
[Maryland](https://www.baltimoresun.com/coronavirus/bs-md-make-a-mask-20200415-hzmnoed2pndq7abfitbfk42lh4-story.html),Entire State,Most Public Indoor Spaces (Including Public Transport & Biz's),4/18/2020
[Pennsylvania](https://www.governor.pa.gov/newsroom/gov-wolf-sec-of-health-signs-expanded-mask-wearing-order/),Entire State,Everywhere in public,4/17/2020
