date_cases,college,cases,Party,State,Masks Required?,Initial Mask Requirement Date
2020-10-22,Alabama A&M University,41.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Alabama State University,,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Athens State University,2.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Auburn University,2019.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Auburn University at Montgomery,59.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Bevill State Community College,4.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Birmingham-Southern College,180.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Calhoun Community College,31.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Central Alabama Community College,24.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Enterprise State Community College,31.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Gadsden State Community College,37.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Huntingdon College,,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Jacksonville State University,219.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Lurleen B. Wallace Community College,9.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Marion Military Institute,5.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Miles College,,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Samford University,370.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Snead State Community College,11.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Southern Union State Community College,59.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Spring Hill College,112.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Troy University,547.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Troy University Dothan,12.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Troy University Montgomery,13.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Troy University-Phenix City Campus,8.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Tuskegee University,62.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,University of Alabama,2882.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,University of Alabama at Birmingham,1562.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,University of Alabama in Huntsville,91.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,University of Montevallo,101.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,University of North Alabama,301.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,University of South Alabama,322.0,Republican,Alabama,Entire State,7/16/2020
2020-10-22,University of West Alabama,,Republican,Alabama,Entire State,7/16/2020
2020-10-22,Ilisagvik College,,Republican,Alaska,Parts of State,
2020-10-22,University of Alaska Anchorage,7.0,Republican,Alaska,Parts of State,
2020-10-22,University of Alaska Fairbanks,85.0,Republican,Alaska,Parts of State,
2020-10-22,University of Alaska Southeast,1.0,Republican,Alaska,Parts of State,
2020-10-22,Arizona State University,2369.0,Republican,Arizona,Parts of State (Employees Only),
2020-10-22,Arizona Western College,5.0,Republican,Arizona,Parts of State (Employees Only),
2020-10-22,Dine College,7.0,Republican,Arizona,Parts of State (Employees Only),
2020-10-22,Embry-Riddle Aeronautical University at Prescott,37.0,Republican,Arizona,Parts of State (Employees Only),
2020-10-22,Grand Canyon University,80.0,Republican,Arizona,Parts of State (Employees Only),
2020-10-22,Midwestern University at Glendale,66.0,Republican,Arizona,Parts of State (Employees Only),
2020-10-22,Mohave Community College,,Republican,Arizona,Parts of State (Employees Only),
2020-10-22,Northern Arizona University,215.0,Republican,Arizona,Parts of State (Employees Only),
2020-10-22,University of Arizona,2433.0,Republican,Arizona,Parts of State (Employees Only),
2020-10-22,Arkansas Northeastern College,28.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,Arkansas State University,618.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,Arkansas Tech University,293.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,Black River Technical College,51.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,Harding University,250.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,Henderson State University,108.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,Hendrix College,15.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,John Brown University,35.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,Lyon College,12.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,National Park College,29.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,NorthWest Arkansas Community College,13.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,Ouachita Baptist University,130.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,Southern Arkansas University,125.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,University of Arkansas,2167.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,University of Arkansas Community College Rich Mountain,19.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,University of Arkansas Community College at Hope - Texarkana,16.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,University of Arkansas Community College-Morrilton,34.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,University of Arkansas at Fort Smith,79.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,University of Arkansas at Little Rock,130.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,University of Arkansas at Monticello,34.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,University of Arkansas at Pine Bluff,139.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,University of Arkansas for Medical Sciences,57.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,University of Central Arkansas,332.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,University of the Ozarks,43.0,Republican,Arkansas,Entire State,7/20/2020
2020-10-22,Academy of Art University,,Democratic,California,Entire State,6/18/2020
2020-10-22,Antelope Valley College,10.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Azusa Pacific University,,Democratic,California,Entire State,6/18/2020
2020-10-22,Bakersfield College,0.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Biola University,6.0,Democratic,California,Entire State,6/18/2020
2020-10-22,California Baptist University,,Democratic,California,Entire State,6/18/2020
2020-10-22,California Institute of Technology,25.0,Democratic,California,Entire State,6/18/2020
2020-10-22,California Lutheran University,6.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California Polytechnic State University, San Luis Obispo",217.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State Polytechnic University, Pomona",15.0,Democratic,California,Entire State,6/18/2020
2020-10-22,California State University Maritime Academy,3.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, Bakersfield",5.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, Channel Islands",6.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, Chico",199.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, Dominguez Hills",9.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, East Bay",21.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, Fullerton",7.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, Long Beach",32.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, Los Angeles",83.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, Monterey Bay",5.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, Northridge",36.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, Sacramento",36.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, San Bernardino",30.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, San Marcos",26.0,Democratic,California,Entire State,6/18/2020
2020-10-22,"California State University, Stanislaus",11.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Chapman University,37.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Claremont McKenna College,,Democratic,California,Entire State,6/18/2020
2020-10-22,Concordia University Irvine,10.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Cypress College,9.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Dominican University of California,3.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Feather River College,7.0,Democratic,California,Entire State,6/18/2020
2020-10-22,Foothill College,0.0,Democratic,California,Entire State,6/18/2020
