date_cases,college,cases,Party,State,Masks Required?,Initial Mask Requirement Date
2020-11-05,Alabama A&M University,41.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Alabama State University,,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Athens State University,23.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Auburn University,2047.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Auburn University at Montgomery,80.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Bevill State Community College,4.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Birmingham-Southern College,196.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Calhoun Community College,36.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Central Alabama Community College,24.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Enterprise State Community College,32.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Gadsden State Community College,45.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Huntingdon College,,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Jacksonville State University,219.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Lurleen B. Wallace Community College,16.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Marion Military Institute,5.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Miles College,,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Samford University,379.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Snead State Community College,13.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Southern Union State Community College,59.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Spring Hill College,113.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Troy University,628.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Troy University Dothan,12.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Troy University Montgomery,16.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Troy University-Phenix City Campus,8.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Tuskegee University,69.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,University of Alabama,3037.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,University of Alabama at Birmingham,1779.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,University of Alabama in Huntsville,119.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,University of Montevallo,110.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,University of North Alabama,370.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,University of South Alabama,378.0,Republican,Alabama,Entire State,7/16/2020
2020-11-05,University of West Alabama,,Republican,Alabama,Entire State,7/16/2020
2020-11-05,Ilisagvik College,,Republican,Alaska,Parts of State,
2020-11-05,University of Alaska Anchorage,10.0,Republican,Alaska,Parts of State,
2020-11-05,University of Alaska Fairbanks,94.0,Republican,Alaska,Parts of State,
2020-11-05,University of Alaska Southeast,1.0,Republican,Alaska,Parts of State,
2020-11-05,Arizona State University,2518.0,Republican,Arizona,Parts of State (Employees Only),
2020-11-05,Arizona Western College,41.0,Republican,Arizona,Parts of State (Employees Only),
2020-11-05,Dine College,7.0,Republican,Arizona,Parts of State (Employees Only),
2020-11-05,Embry-Riddle Aeronautical University at Prescott,37.0,Republican,Arizona,Parts of State (Employees Only),
2020-11-05,Grand Canyon University,230.0,Republican,Arizona,Parts of State (Employees Only),
2020-11-05,Midwestern University at Glendale,72.0,Republican,Arizona,Parts of State (Employees Only),
2020-11-05,Mohave Community College,,Republican,Arizona,Parts of State (Employees Only),
2020-11-05,Northern Arizona University,268.0,Republican,Arizona,Parts of State (Employees Only),
2020-11-05,University of Arizona,2517.0,Republican,Arizona,Parts of State (Employees Only),
2020-11-05,Arkansas Northeastern College,28.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,Arkansas State University,692.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,Arkansas Tech University,340.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,Black River Technical College,56.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,Harding University,300.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,Henderson State University,116.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,Hendrix College,17.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,John Brown University,36.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,Lyon College,12.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,National Park College,36.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,NorthWest Arkansas Community College,16.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,Ouachita Baptist University,147.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,Southern Arkansas University,144.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,University of Arkansas,2262.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,University of Arkansas Community College Rich Mountain,19.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,University of Arkansas Community College at Hope - Texarkana,16.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,University of Arkansas Community College-Morrilton,34.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,University of Arkansas at Fort Smith,104.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,University of Arkansas at Little Rock,149.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,University of Arkansas at Monticello,40.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,University of Arkansas at Pine Bluff,172.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,University of Arkansas for Medical Sciences,69.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,University of Central Arkansas,379.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,University of the Ozarks,52.0,Republican,Arkansas,Entire State,7/20/2020
2020-11-05,Academy of Art University,,Democratic,California,Entire State,6/18/2020
2020-11-05,Antelope Valley College,14.0,Democratic,California,Entire State,6/18/2020
2020-11-05,Azusa Pacific University,8.0,Democratic,California,Entire State,6/18/2020
2020-11-05,Bakersfield College,0.0,Democratic,California,Entire State,6/18/2020
2020-11-05,Biola University,6.0,Democratic,California,Entire State,6/18/2020
2020-11-05,California Baptist University,9.0,Democratic,California,Entire State,6/18/2020
2020-11-05,California Institute of Technology,29.0,Democratic,California,Entire State,6/18/2020
2020-11-05,California Lutheran University,7.0,Democratic,California,Entire State,6/18/2020
2020-11-05,"California Polytechnic State University, San Luis Obispo",271.0,Democratic,California,Entire State,6/18/2020
2020-11-05,"California State Polytechnic University, Pomona",16.0,Democratic,California,Entire State,6/18/2020
2020-11-05,California State University Maritime Academy,3.0,Democratic,California,Entire State,6/18/2020
